index,year,month,period,storage_id,capacity_t,opening_t,inflow_t,losses_t,demand_t,demand_critical_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,overflow_t,holding_mln
43,2038,8,2038-08,ZBO,120.0,62.411667,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,65.290333,0.0,3.83106
44,2038,9,2038-09,ZBO,120.0,65.290333,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,68.169,0.0,4.00378
45,2038,10,2038-10,ZBO,120.0,68.169,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,71.047667,0.0,4.1765
46,2038,11,2038-11,ZBO,120.0,71.047667,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,73.926333,0.0,4.34922
47,2038,12,2038-12,ZBO,120.0,73.926333,24.0,0.288,20.833333,14.166667,20.833333,14.166667,0.0,0.0,76.805,0.0,4.52194
48,2039,1,2039-01,ZBO,120.0,76.805,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,77.308333,0.0,4.6234
49,2039,2,2039-02,ZBO,120.0,77.308333,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,77.811667,0.0,4.6536
50,2039,3,2039-03,ZBO,120.0,77.811667,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,78.315,0.0,4.6838
51,2039,4,2039-04,ZBO,120.0,78.315,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,78.818333,0.0,4.714
52,2039,5,2039-05,ZBO,120.0,78.818333,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,79.321667,0.0,4.7442
53,2039,6,2039-06,ZBO,120.0,79.321667,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,79.825,0.0,4.7744
54,2039,7,2039-07,ZBO,120.0,79.825,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,80.328333,0.0,4.8046
55,2039,8,2039-08,ZBO,120.0,80.328333,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,80.831667,0.0,4.8348
56,2039,9,2039-09,ZBO,120.0,80.831667,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,81.335,0.0,4.865
57,2039,10,2039-10,ZBO,120.0,81.335,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,81.838333,0.0,4.8952
58,2039,11,2039-11,ZBO,120.0,81.838333,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,82.341667,0.0,4.9254
59,2039,12,2039-12,ZBO,120.0,82.341667,27.5,0.33,26.666667,17.5,26.666667,17.5,0.0,0.0,82.845,0.0,4.9556
60,2040,1,2040-01,ZBO,120.0,82.845,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,83.278333,0.0,4.9837
61,2040,2,2040-02,ZBO,120.0,83.278333,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,83.711667,0.0,5.0097
62,2040,3,2040-03,ZBO,120.0,83.711667,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,84.145,0.0,5.0357
63,2040,4,2040-04,ZBO,120.0,84.145,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,84.578333,0.0,5.0617
64,2040,5,2040-05,ZBO,120.0,84.578333,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,85.011667,0.0,5.0877
65,2040,6,2040-06,ZBO,120.0,85.011667,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,85.445,0.0,5.1137
66,2040,7,2040-07,ZBO,120.0,85.445,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,85.878333,0.0,5.1397
67,2040,8,2040-08,ZBO,120.0,85.878333,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,86.311667,0.0,5.1657
68,2040,9,2040-09,ZBO,120.0,86.311667,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,86.745,0.0,5.1917
69,2040,10,2040-10,ZBO,120.0,86.745,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,87.178333,0.0,5.2177
70,2040,11,2040-11,ZBO,120.0,87.178333,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,87.611667,0.0,5.2437
71,2040,12,2040-12,ZBO,120.0,87.611667,33.333333,0.4,32.5,20.833333,32.5,20.833333,0.0,0.0,88.045,0.0,5.2697
