scenario_id,plan_id,year,entity,metric,value,unit
MANDATORY_STRESS,base-v1,2035,B,payable_volume_t,20.0,t
MANDATORY_STRESS,base-v1,2035,B,take_or_pay_topup_t,0.0,t
MANDATORY_STRESS,base-v1,2035,B,price_mln_per_t,8.9,t
MANDATORY_STRESS,base-v1,2035,B,base_price_mln_per_t,8.9,t
MANDATORY_STRESS,base-v1,2035,B,variable_payment_mln,178.0,mln
MANDATORY_STRESS,base-v1,2035,B,reservation_payment_mln,4.5,mln
MANDATORY_STRESS,base-v1,2035,B,total_payment_mln,182.5,mln
MANDATORY_STRESS,base-v1,2035,B,reliability,0.985,share
MANDATORY_STRESS,base-v1,2035,C,available,0,bool
MANDATORY_STRESS,base-v1,2035,C,available_months,0,months
MANDATORY_STRESS,base-v1,2035,C,capacity_t,130.0,t
MANDATORY_STRESS,base-v1,2035,C,capacity_available_t,0.0,t
MANDATORY_STRESS,base-v1,2035,C,reserved_capacity_t,0.0,t
MANDATORY_STRESS,base-v1,2035,C,ordered_t,0.0,t
MANDATORY_STRESS,base-v1,2035,C,delivered_plan_t,0.0,t
MANDATORY_STRESS,base-v1,2035,C,delivered_actual_t,0.0,t
MANDATORY_STRESS,base-v1,2035,C,delivery_share,1.0,share
MANDATORY_STRESS,base-v1,2035,C,payable_volume_t,0.0,t
MANDATORY_STRESS,base-v1,2035,C,take_or_pay_topup_t,0.0,t
MANDATORY_STRESS,base-v1,2035,C,price_mln_per_t,7.1,t
MANDATORY_STRESS,base-v1,2035,C,base_price_mln_per_t,7.1,t
MANDATORY_STRESS,base-v1,2035,C,variable_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,C,reservation_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,C,total_payment_mln,0.0,mln
MANDATORY_STRESS,base-v1,2035,C,reliability,0.94,share
MANDATORY_STRESS,base-v1,2035,D,available,0,bool
MANDATORY_STRESS,base-v1,2035,D,available_months,0,months
MANDATORY_STRESS,base-v1,2035,D,capacity_t,120.0,t
MANDATORY_STRESS,base-v1,2035,D,capacity_available_t,0.0,t
MANDATORY_STRESS,base-v1,2035,D,reserved_capacity_t,0.0,t
MANDATORY_STRESS,base-v1,2035,D,ordered_t,0.0,t
MANDATORY_STRESS,base-v1,2035,D,delivered_plan_t,0.0,t
MANDATORY_STRESS,base-v1,2035,D,delivered_actual_t,0.0,t
MANDATORY_STRESS,base-v1,2035,D,delivery_share,1.0,share
MANDATORY_STRESS,base-v1,2035,D,payable_volume_t,0.0,t
MANDATORY_STRESS,base-v1,2035,D,take_or_pay_topup_t,0.0,t
