index,year,month,period,storage_id,capacity_t,opening_t,inflow_t,losses_t,demand_t,demand_critical_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,overflow_t,holding_mln
44,2038,9,2038-09,ZBO,120.0,50.498333,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,50.005,0.0,3.0151
45,2038,10,2038-10,ZBO,120.0,50.005,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,49.511667,0.0,2.9855
46,2038,11,2038-11,ZBO,120.0,49.511667,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,49.018333,0.0,2.9559
47,2038,12,2038-12,ZBO,120.0,49.018333,23.75,0.285,23.958333,16.291667,23.958333,16.291667,0.0,0.0,48.525,0.0,2.9263
48,2039,1,2039-01,ZBO,120.0,48.525,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,49.968333,0.0,2.9548
49,2039,2,2039-02,ZBO,120.0,49.968333,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,51.411667,0.0,3.0414
50,2039,3,2039-03,ZBO,120.0,51.411667,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,52.855,0.0,3.128
51,2039,4,2039-04,ZBO,120.0,52.855,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,54.298333,0.0,3.2146
52,2039,5,2039-05,ZBO,120.0,54.298333,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,55.741667,0.0,3.3012
53,2039,6,2039-06,ZBO,120.0,55.741667,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,57.185,0.0,3.3878
54,2039,7,2039-07,ZBO,120.0,57.185,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,58.628333,0.0,3.4744
55,2039,8,2039-08,ZBO,120.0,58.628333,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,60.071667,0.0,3.561
56,2039,9,2039-09,ZBO,120.0,60.071667,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,61.515,0.0,3.6476
57,2039,10,2039-10,ZBO,120.0,61.515,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,62.958333,0.0,3.7342
58,2039,11,2039-11,ZBO,120.0,62.958333,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,64.401667,0.0,3.8208
59,2039,12,2039-12,ZBO,120.0,64.401667,32.5,0.39,30.666667,20.125,30.666667,20.125,0.0,0.0,65.845,0.0,3.9074
60,2040,1,2040-01,ZBO,120.0,65.845,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,60.58,0.0,3.79275
61,2040,2,2040-02,ZBO,120.0,60.58,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,55.315,0.0,3.47685
62,2040,3,2040-03,ZBO,120.0,55.315,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,50.05,0.0,3.16095
63,2040,4,2040-04,ZBO,120.0,50.05,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,44.785,0.0,2.84505
64,2040,5,2040-05,ZBO,120.0,44.785,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,39.52,0.0,2.52915
65,2040,6,2040-06,ZBO,120.0,39.52,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,34.255,0.0,2.21325
66,2040,7,2040-07,ZBO,120.0,34.255,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,28.99,0.0,1.89735
67,2040,8,2040-08,ZBO,120.0,28.99,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,23.725,0.0,1.58145
68,2040,9,2040-09,ZBO,120.0,23.725,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,18.46,0.0,1.26555
69,2040,10,2040-10,ZBO,120.0,18.46,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,13.195,0.0,0.94965
70,2040,11,2040-11,ZBO,120.0,13.195,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,7.93,0.0,0.63375
71,2040,12,2040-12,ZBO,120.0,7.93,32.5,0.39,37.375,23.958333,37.375,23.958333,0.0,0.0,2.665,0.0,0.31785
